0, KeyBank, 25901, 2000, 3, 8
1, SunTrust, 56733, 2000, 3, 8
2, HSBCBankUSA, 62419, 2000, 3, 8
3, SunTrust, 43518, 2000, 3, 8
4, SallieMae, 87531, 2000, 3, 8
5, KeyBank, 36879, 2000, 3, 8
6, SunTrust, 47764, 2000, 3, 8
7, SunTrust, 49348, 2000, 3, 8
8, SunTrust, 48771, 2000, 3, 8
9, KeyBank, 33626, 2000, 3, 8
10, HSBCBankUSA, 64247, 2000, 3, 8
11, SunTrust, 52461, 2000, 3, 8
12, WellsFargo, 1276, 2000, 3, 8
13, HSBCBankUSA, 72762, 2000, 3, 8
14, HSBCBankUSA, 68617, 2000, 3, 8
15, SunTrust, 51212, 2000, 3, 8
16, SallieMae, 93367, 2000, 3, 8
17, SallieMae, 92438, 2000, 3, 8
18, WellsFargo, 7572, 2000, 3, 8
19, KeyBank, 29540, 2000, 3, 8
20, KeyBank, 29347, 2000, 3, 8
21, KeyBank, 32811, 2000, 3, 8
22, SallieMae, 85374, 2000, 3, 8
23, SallieMae, 80770, 2000, 3, 8
24, WellsFargo, 2649, 2000, 3, 8
25, WellsFargo, 3373, 2000, 3, 8
26, WellsFargo, 9436, 2000, 3, 8
27, SunTrust, 49851, 2000, 3, 8
28, KeyBank, 33330, 2000, 3, 8
29, SunTrust, 55087, 2000, 3, 8
30, WellsFargo, 15286, 2000, 3, 8
31, SunTrust, 55961, 2000, 3, 8
32, WellsFargo, 19942, 2000, 3, 8
33, KeyBank, 30902, 2000, 3, 8
34, WellsFargo, 1930, 2000, 3, 8
35, KeyBank, 35123, 2000, 3, 8
36, SallieMae, 91978, 2000, 3, 8
37, SunTrust, 59774, 2000, 3, 8
38, KeyBank, 25183, 2000, 3, 8
39, WellsFargo, 4477, 2000, 3, 8
40, SunTrust, 49788, 2000, 3, 8
41, HSBCBankUSA, 74626, 2000, 3, 8
42, SallieMae, 82264, 2000, 3, 8
43, WellsFargo, 7195, 2000, 3, 8
44, SallieMae, 92020, 2000, 3, 8
45, SunTrust, 41613, 2000, 3, 8
46, SunTrust, 53123, 2000, 3, 8
47, WellsFargo, 18626, 2000, 3, 8
48, SunTrust, 57393, 2000, 3, 8
49, KeyBank, 35368, 2000, 3, 8
50, HSBCBankUSA, 77228, 2000, 3, 8
51, SunTrust, 58175, 2000, 3, 8
52, WellsFargo, 2854, 2000, 3, 8
53, HSBCBankUSA, 71379, 2000, 3, 8
54, HSBCBankUSA, 79869, 2000, 3, 8
55, SallieMae, 93089, 2000, 3, 8
56, HSBCBankUSA, 71359, 2000, 3, 8
57, SallieMae, 81648, 2000, 3, 8
58, SunTrust, 41867, 2000, 3, 8
59, SallieMae, 85157, 2000, 3, 8
60, KeyBank, 28441, 2000, 3, 8
61, SallieMae, 97912, 2000, 3, 8
62, WellsFargo, 17016, 2000, 3, 8
63, SallieMae, 93683, 2000, 3, 8
64, WellsFargo, 19338, 2000, 3, 8
65, WellsFargo, 9285, 2000, 3, 8
66, KeyBank, 33517, 2000, 3, 8
67, HSBCBankUSA, 70374, 2000, 3, 8
68, HSBCBankUSA, 71830, 2000, 3, 8
69, KeyBank, 34493, 2000, 3, 8
70, SunTrust, 59233, 2000, 3, 8
71, KeyBank, 34592, 2000, 3, 8
72, HSBCBankUSA, 68254, 2000, 3, 8
73, WellsFargo, 4093, 2000, 3, 8
74, HSBCBankUSA, 79751, 2000, 3, 8
75, SunTrust, 54721, 2000, 3, 8
76, SunTrust, 50546, 2000, 3, 8
77, HSBCBankUSA, 79178, 2000, 3, 8
78, SallieMae, 88750, 2000, 3, 8
79, HSBCBankUSA, 61035, 2000, 3, 8
80, SunTrust, 50249, 2000, 3, 8
81, SallieMae, 90810, 2000, 3, 8
82, SallieMae, 92457, 2000, 3, 8
83, SallieMae, 97962, 2000, 3, 8
84, HSBCBankUSA, 77858, 2000, 3, 8
85, SunTrust, 57111, 2000, 3, 8
86, SunTrust, 54105, 2000, 3, 8
87, SunTrust, 48563, 2000, 3, 8
88, SunTrust, 51032, 2000, 3, 8
89, WellsFargo, 8841, 2000, 3, 8
90, HSBCBankUSA, 63763, 2000, 3, 8
91, WellsFargo, 11329, 2000, 3, 8
92, WellsFargo, 18906, 2000, 3, 8
93, KeyBank, 40026, 2000, 3, 8
94, HSBCBankUSA, 76035, 2000, 3, 8
95, SunTrust, 51875, 2000, 3, 8
96, SunTrust, 58609, 2000, 3, 8
97, SallieMae, 88580, 2000, 3, 8
98, SallieMae, 87856, 2000, 3, 8
99, SallieMae, 83733, 2000, 3, 8
100, WellsFargo, 9094, 2000, 3, 8
101, SallieMae, 82749, 2000, 3, 8
102, SunTrust, 46796, 2000, 3, 8
103, KeyBank, 23899, 2000, 3, 8
104, HSBCBankUSA, 76135, 2000, 3, 8
105, SunTrust, 43635, 2000, 3, 8
106, SallieMae, 89921, 2000, 3, 8
107, SallieMae, 98761, 2000, 3, 8
108, SallieMae, 91627, 2000, 3, 8
109, KeyBank, 26146, 2000, 3, 8
110, SunTrust, 43541, 2000, 3, 8
111, SallieMae, 92181, 2000, 3, 8
112, SallieMae, 92897, 2000, 3, 8
113, SallieMae, 80831, 2000, 3, 8
114, KeyBank, 35907, 2000, 3, 8
115, KeyBank, 37631, 2000, 3, 8
116, WellsFargo, 6454, 2000, 3, 8
117, WellsFargo, 19053, 2000, 3, 8
118, WellsFargo, 16824, 2000, 3, 8
119, HSBCBankUSA, 62226, 2000, 3, 8
120, SunTrust, 55180, 2000, 3, 8
121, SallieMae, 84954, 2000, 3, 8
122, WellsFargo, 20340, 2000, 3, 8
123, HSBCBankUSA, 63987, 2000, 3, 8
124, HSBCBankUSA, 70729, 2000, 3, 8
125, SunTrust, 48903, 2000, 3, 8
126, WellsFargo, 16685, 2000, 3, 8
127, KeyBank, 29226, 2000, 3, 8
128, KeyBank, 28057, 2000, 3, 8
129, KeyBank, 28875, 2000, 3, 8
130, SallieMae, 96112, 2000, 3, 8
131, HSBCBankUSA, 61966, 2000, 3, 8
132, SallieMae, 91321, 2000, 3, 8
133, WellsFargo, 6016, 2000, 3, 8
134, SunTrust, 52940, 2000, 3, 8
135, HSBCBankUSA, 67499, 2000, 3, 8
136, SunTrust, 45013, 2000, 3, 8
137, HSBCBankUSA, 69557, 2000, 3, 8
138, KeyBank, 22826, 2000, 3, 8
139, KeyBank, 35222, 2000, 3, 8
140, HSBCBankUSA, 67190, 2000, 3, 8
141, SunTrust, 55343, 2000, 3, 8
142, SunTrust, 56935, 2000, 3, 8
143, KeyBank, 25884, 2000, 3, 8
144, HSBCBankUSA, 65300, 2000, 3, 8
145, HSBCBankUSA, 71582, 2000, 3, 8
146, WellsFargo, 18431, 2000, 3, 8
147, KeyBank, 38074, 2000, 3, 8
